ProductType,Manufacturer,Model,Hide S/N in eBay?,Know how to reset?, Price ,Time ( Mins ), Output / Hour ,Note,Less that £100/hr,Scrap,£100 - £150,Mid Tier,£150 + Upper Tier
AP,Aerohive,Hive AP110,,Extremely,,5.0, £ -   ,,,,,,
AP,Alcatel Lucent,APIN0204,,Extremely,,10.0, £ -   ,,,,,,
AP,Alcatel Lucent,APIN0205,,Extremely,,10.0, £ -   ,,,,,,
AP,Aruba,APIN0305,,Extremely,,10.0, £ -   ,,,,,,
AP,Aruba,APIN0315,,Extremely,,10.0, £ -   ,,,,,,
AP,Aruba,JW216A,,Moderately, £ 85.00 ,,  ,,,,,,
AP,Cisco,AIR-AP1815I-E-K9,,Extremely,,5.0, £ -   ,,,,,,
AP,Cisco,AIR-AP1832I-E-K9,,Moderately, £ 150.00 ,5.0," £ 1,800.00 ",,,,,,
AP,Cisco,AIR-AP1852E-E-K9,,Extremely,,5.0, £ -   ,,,,,,
AP,Cisco,AIR-AP1852I-E-K9,,Extremely,,5.0, £ -   ,,,,,,
AP,Cisco,AIR-AP2802E-E-K9,,Extremely,,8.0, £ -   ,,,,,,
AP,Cisco,AIR-AP2802I-E-K9,,Moderately, £ 25.00 ,5.0, £ 300.00 ,,,,,,
AP,Cisco,AIR-CAP16021-E-K9,,Moderately, £ 15.00 ,5.0, £ 180.00 ,,,,,,
AP,Cisco,AIR-CAP17021-E-K9,,Moderately, £ 9.00 ,5.0, £ 108.00 ,,,,,,
AP,Cisco,AIR-CAP2602I-E-K9,,Extremely,,5.0, £ -   ,,,,,,
AP,Cisco,AIR-CAP27021-E-K9,,Moderately, £ 40.00 ,,  ,,,,,,
AP,Cisco,AIR-CAP35021-E-K9,,Moderately, £ 9.00 ,5.0, £ 108.00 ,,,,,,
AP,Cisco,AIR-LAP1142N-E-K9,,Moderately, £ 10.00 ,5.0, £ 120.00 ,,,,,,
AP,Cisco,AIR-LAP1142N-E-K9,,, Scrap ,,,,,,,,
AP,Cisco,Meraki MR16,Yes,Extremely, £ 10.00 ,5.0, £ 120.00 ,,,,,,
AP,Cisco,Meraki MR18,Yes,Extremely, £ 10.00 ,5.0, £ 120.00 ,,,,,,
AP,Cisco,Meraki MR32,Yes,Extremely,,5.0, £ -   ,,,,,,
AP,Cisco,Meraki MR33,Yes,Extremely, £ 20.00 ,5.0, £ 240.00 ,,,,,,
AP,Cisco,Meraki MR34,Yes,Extremely, £ 20.00 ,5.0, £ 240.00 ,,,,,,
AP,Cisco,Meraki MR42,Yes,Extremely, £ 50.00 ,5.0, £ 600.00 ,,,,,,
AP,Cisco,WAP371-E-K9,,Extremely,,5.0, £ -   ,,,,,,
AP,D-Link,DAP-2695,,Extremely,,5.0, £ -   ,,,,,,
AP,Huawei,AP6150DN,,Extremely,,10.0, £ -   ,,,,,,
AP,Netgear,WAC510,,Extremely,,,,,,,,,
AP,Ruckus,AP390,,Extremely,,,,,,,,,
AP,Ruckus,R510,,Extremely,,5.0, £ -   ,,,,,,
AP,SonicWALL,APL26-0B3,,Extremely,,10.0, £ -   ,,,,,,
AP,SonicWALL,SonicWave 231c,,Moderately, £ 80.00 ,,  ,,,,,,
AP,Sophos,AP 55C,,Moderately, £ 25.00 ,10.0, £ 150.00 ,,,,,,
AP,UniFi,UAP-AC-IW-Pro,,Extremely,,10.0, £ -   ,,,,,,
AP,UniFi,UAP-AC-LITE,,Extremely, £ 45.00 ,5.0, £ 540.00 ,,,,,,
AP,UniFi,UAP-AC-LR,,Extremely, £ 40.00 ,5.0, £ 480.00 ,,,,,,
AP,UniFi,UAP-AC-PRO,,Extremely, £ 30.00 ,,  ,,,,,,
AP,UniFi,UAP-LR,,Extremely, £ 40.00 ,5.0, £ 480.00 ,,,,,,
AP,UniFi,UAPAC,,Extremely, £ 25.00 ,,  ,,,,,,
AP,UniFi,UAPv2,,Extremely, £ 15.00 ,5.0, £ 180.00 ,,,,,,
AV Equipment,Amulet Hotkey,DXT-H4 Standalone External PCOIP Host Card,,Not at all,,,  ,,,,,,
AV Equipment,Blackmagic,UltraStudio 3D,,Not at all, £ 100.00 ,,  ,,,,,,
AV Equipment,iPECS,UCP100 Unified Communications Platform,,Not at all, £ 50.00 ,,  ,,,,,,
AV Equipment,Logitech,Tap Touch Controller VU0053,,Moderately, £ 150.00 ,,  ,,,,,,
AV Equipment,Onelan,NTB-660-M-S HD Standalone Digital Signage Media Player,,Not at all, £ 65.00 ,,  ,,,,,,
AV Equipment,Poly,Group 700 Video Conferencing System,,Not at all, £ 120.00 ,,  ,,,,,,
AV Equipment,Poly,HDX 9000 Codec,,Not at all, £ 50.00 ,,  ,,,,,,
AV Equipment,Poly,Poly EagleEye MPTZ-11 Camera,,Not at all,,,  ,,,,,,
AV Equipment,Poly,Poly Studio P009 Video Bar,,Not at all, £ 120.00 ,,  ,,,,,,
AV Equipment,Poly,RealPresence Touch,,Not at all, £ 20.00 ,,  ,,,,,,
AV Equipment,QVIS,GENISYS-NVR-8-2TB Digital Video Recorder,,Not at all,,,  ,,,,,,
AV Equipment,SmartWitness,SVD420HDA Mobile Digital Video Recorder,,Not at all,,,  ,,,,,,
AV Equipment,Tandberg,TTC2-04 TelePresence Video Communication Server,,Not at all, £ 45.00 ,,  ,,,,,,
AV Equipment,Vista,VK2-PVM32CAM PoE Powered Public Viewing Monitor ,,Moderately,,,  ,,,,,,
Firewall,Barracuda,BBF340a,,Extremely,,20.0, £ -   ,,,,,,
Firewall,Barracuda,F18,Yes,Moderately,,20.0, £ -   ,,,,,,
Firewall,Barracuda,F180,Yes,Not at all, £ 200.00 ,30.0, £ 400.00 ,,,,,,
Firewall,Barracuda,F80,,Not at all, £ 90.00 ,,  ,,,,,,
Firewall,Check Point,T-110,,, Scrap ,,,,,,,,
Firewall,Cisco,ASA 5505,,Moderately, Scrap ,,  ,,,,,,
Firewall,Cisco,ASA 5506 V04,,Moderately, £ 50.00 ,,  ,,,,,,
Firewall,Cisco,ASA 5506-K9,,Moderately, £ 70.00 ,,  ,,,,,,
