Manufacturer;Model;Status
Adva;Fsp 150-Ge102Pro;Scrap
Allied Telesis;At-210Ts;Scrap
Allied Telesis;At-6102G;Scrap
Allied Telesis;At-8000S;Sell
Allied Telesis;At-8024Gb;Sell
Allied Telesis;At-Dmc100;Scrap
Allied Telesis;At-Dmc1000;Sell
Allied Telesis;At-Gs950;Scrap
Allied Telesis;At-Mr127F;Scrap
Allied Telesis;At-Mx10Sbnc;Scrap
Allied Telesis;Fs708;Scrap
Allied Telesis;Fs716L-30;Sell
Allied Telesis;Ie210L-10Gp;Scrap
Aruba;J9726A;Sell
Aruba;J9728A;Scrap
Aruba;J9729A;Sell
Aruba;J9772A;Sell
Aruba;J9773A;Sell
Aruba;J9774A;Sell
Aruba;J9776A;Sell
Aruba;J9779A;Scrap
Aruba;Jl075A;Sell
Aruba;Jl083A;Sell
Aruba;Jl253A;Sell
Aruba;Jl256A;Sell
Aruba;Jl325A;Sell
Aruba;Jl357A;Sell
Aruba;Jl563A;Sell
Aruba;Jl663A;Sell
Aruba;Jl665A;Sell
Aruba;Jl679A;Sell
Aruba;Jl682A;Sell
Aruba;Jl683A;Sell
Aruba;Jl685A;Sell
Aruba;Jl805A;Sell
Aruba;Jl807A;Sell
Avaya;Al2515A11-E6;Sell
Avaya;Al3500A14-E6;Sell
Brocade;Br-Vdx6740-24-R;Sell
Brocade;Em-Vdx6740-24-F;Sell
Brocade;Ht-Vdx6746-0000;Sell
Cisco;3750X-24P-S;Scrap
Cisco;3750X-48P;Sell
Cisco;Ap1852I-E-K9;Sell
Cisco;C1000-24T-4G-L;Sell
Cisco;C1000-48T-4G-L;Sell
Cisco;C240;Sell
Cisco;C2960X-24Pd-L;Scrap
Cisco;C2960X-Stack;Scrap
Cisco;C3650;Sell
Cisco;C3900-Spe100;Sell
Cisco;C3Kx-Nm-1G;Sell
Cisco;C800;Scrap
Cisco;C892Fsp-K9;Sell
Cisco;C9120Axi-E;Sell
Cisco;C9130Axi-E;Sell
Cisco;C9148S-K9;Sell
Cisco;C9200L;Sell
Cisco;C9200L-24P-4G-E;Sell
Cisco;C9200L-24P-4X;Sell
Cisco;C9200L-24P-4X-E;Sell
Cisco;C9200L-24Pxg-4X-E;Sell
Cisco;C9200L-48P-4G-E;Sell
Cisco;C9200L-48P-4X-E;Sell
Cisco;C9300;Sell
Cisco;C9300-24P-E;Sell
Cisco;C9300-24U-E;Sell
Cisco;C9300-48P-E;Sell
Cisco;C9300-48T-E;Sell
Cisco;C9300-48Uxm-E;Sell
Cisco;C9300L-24P-4X-A;Sell
Cisco;C9300L-48T-4X-E;Sell
Cisco;C9500-16X-A;Sell
Cisco;C9500-24Y4C-A;Sell
Cisco;C9500-Nm-8X;Sell
Cisco;Gs110-8P;Sell
Cisco;Gs110-8P-Hw;Sell
Cisco;Meraki Ms220-8P;Sell
Cisco;Meraki Ms225-24P;Sell
Cisco;N2K-B22Dell-P;Sell
Cisco;N2K-C2148T-1Ge;Scrap
Cisco;N2K-C2232Pf-10Ge;Sell
Cisco;N2K-C2232Pp-10Ge;Scrap
Cisco;N2K-C2232Tm-10Ge;Sell
Cisco;N2K-C2232Tm-E;Sell
Cisco;N2K-C2248Tp-E-1Ge;Scrap
Cisco;N3K-C3048Tp-1Ge;Sell
Cisco;N5K-C5548Up;Sell
Cisco;N5K-C5596Up;Sell
Cisco;N9K-C93180Yc-Fx;Sell
Cisco;N9K-C9396Px;Sell
Cisco;N9K-C9500-Lc-Cv;Sell
Cisco;Sf100D-08;Scrap
Cisco;Sf110D-08Hp;Scrap
Cisco;Sf200-24P;Scrap
Cisco;Sf220-24P;Sell
Cisco;Sf300-08;Scrap
Cisco;Sf300-24P;Scrap
Cisco;Sf300-24Port;Scrap
Cisco;Sf300-24Pp;Sell
Cisco;Sf302-08;Scrap
Cisco;Sf302-08Mp;Sell
Cisco;Sf350-24;Sell
Cisco;Sf350-24P;Sell
Cisco;Sf350-48P;Scrap
Cisco;Sf352-08;Sell
Cisco;Sf352-08-K9-Na;Sell
Cisco;Sg100D-08P;Scrap
Cisco;Sg110D-08;Scrap
Cisco;Sg200-26P;Scrap
Cisco;Sg200-50P;Scrap
Cisco;Sg250-26P;Sell
Cisco;Sg300-10;Sell
Cisco;Sg300-10Mp;Sell
Cisco;Sg300-10Mpp;Sell
Cisco;Sg300-10P;Sell
Cisco;Sg300-10Pp;Sell
Cisco;Sg300-20;Scrap
Cisco;Sg300-28;Sell
Cisco;Sg300-28P;Scrap
Cisco;Sg300-28Pp;Sell
Cisco;Sg300-28Sfp;Sell
Cisco;Sg300-52;Sell
Cisco;Sg300-52Mp;Sell
Cisco;Sg300-52P;Sell
Cisco;Sg300-52P-K9;Sell
Cisco;Sg350-10;Sell
Cisco;Sg350-10Mp;Sell
Cisco;Sg350-10P;Sell
Cisco;Sg350-28;Sell
Cisco;Sg350-52P;Sell
Cisco;Sg350-52P-K9;Sell
Cisco;Sg350-8Pmd;Sell
Cisco;Sg350X-24-K9-V02;Sell
Cisco;Sg350X-48P;Sell
Cisco;Sg350Xg-24F;Sell
Cisco;Sg500-28P;Sell
