ProductType,Model,Manufacturer
all in one,"imac18,3/a1419",apple
desktop,vostro 3470,dell
all in one,"imac16,2/a1418",apple
all in one,"imac14,1/a1418",apple
desktop,elite 7500 series mt,hp
desktop,280 g1 mt,hp
desktop,elite 7500 series mt,hp
desktop,vostro 3470,dell
desktop,elite 7500 series mt,hp
tablet,galaxy tab a,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
tablet,galaxy tab a,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
smartphone,galaxy s7,samsung
