ProductType,Model,Manufacturer
ALL IN ONE,"iMac18,3/A1419",APPLE
DESKTOP,VOSTRO 3470,DELL
ALL IN ONE,"iMac16,2/A1418",APPLE
ALL IN ONE,"iMac14,1/A1418",APPLE
DESKTOP,ELITE 7500 SERIES MT,HP
DESKTOP,280 G1 MT,HP
DESKTOP,ELITE 7500 SERIES MT,HP
DESKTOP,VOSTRO 3470,DELL
DESKTOP,ELITE 7500 SERIES MT,HP
TABLET,GALAXY TAB A,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
TABLET,GALAXY TAB A,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
SMARTPHONE,GALAXY S7,SAMSUNG
