status,price,brand,model,generation,title,type,link,condition,seller notes
scrap,61.49,ibm,x3650,,"€42+vat ibm 600gb sas 2.5"" system x3650 x3550 x3500 m3 m4 - tested, warranty",,https://www.ebay.co.uk/itm/114090120643?hash=item1a904d15c3%3ag%3aieiaaosw5ulhn3qq&itmprp=enc%3aaqajaaaa0jkj2zls8%2byzc2cf1f0nj3vp6qtukpebrn%2fieuswh6qd2ngdj6gbdvhavodfiouizbcorkmrtqlglskow78jb6bgdvcfjeafdtfzh0motaw7qhsmlrv7ag%2f171ynhqcoz2by7eb7mbeckulxskinxt52jfd6dftqpe9dna%2flidh9g6sg%2bwtie%2fhwkmedfssmvz9v8lgn4dohwoihewmtkkagsconhpjwpkidzdu3gmjm6o2twvsyacrs9jko0bbpwky%2blydcfsdmem%2fgu9q1yiq%3d%7ctkp%3abk9sr_kogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,“fully tested - 1 year warranty”
scrap,35.19,ibm,x3650,,4x 8gb 32gb rdimm ecc reg ddr3 1333mhz memory f ibm system x3650 m2 x3650 m3,,https://www.ebay.co.uk/itm/362316453471?hash=item545bbe565f%3ag%3aro8aaoswx%7edwmlcw&itmprp=enc%3aaqajaaaawammgrf7jckt0kmmol1bl99qxg9zkdfyesrdyzz0u2zum5vm%2bbdqubmnjc0mdhm4vs0sj2ogk6td4mtlxs3tg6tz29ovmcaxjfiktx4vi2fycwjwxwm2vuk9fdfx7n%2bcmpy46lzzfwr%2bxqwwb8%2fu%2bdndmaeejpfsizdj6pfno9vtzif2dv%2b%2fhhagzgq5apm2qlj2hsdosnoxw2qwytyg2aroqzldomm7qso04sro1oi6vvjquq8wbrt0eycd6kphkg%3d%3d%7ctkp%3abk9sr_sogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,excellent - refurbished: the item shows no signs of use. it is fully functional and has been ... ,
scrap,200.0,ibm,x3650,,ibm system x3650 m4 server,,https://www.ebay.co.uk/itm/186324961111?epid=1139799671&hash=item2b61d54757%3ag%3a%7e7caaoswd-rl41qg&itmprp=enc%3aaqajaaaa4aghutaoubehasygz6is5kcx6t0hclkctv9vxoszsy0af0uipzkpsbzowr5yb1j8rwm%2b9p8klcjogj1okc61nasgxye15jming%2fafkjpo42crcxrvaufnkn6h6co6khmvm%2byzi%2b2hwi6oc%2fkybexjeuw1x46j1e4aqaqvdwsjhisnnas2eptvbhpvvphjhec2mf%2f7tfcnus0khefp%2ftmzba6iyapwc0zivnx6yhy5y5yhxz5yjvooldidpdotblb1jgyravo1ly3mqn62ppbgwi%2fhcysuwz60nlubljyyxij%7ctkp%3abk9sr_sogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,,
scrap,20.99,ibm,x3650,,ibm x3650 m3 ddr3 ecc 14900r server ram: 8gb pc3 memory 64gb - 192gb lot,ddr3 sdram,https://www.ebay.co.uk/itm/125027094392?hash=item1d1c320f78%3ag%3abymaaoswjihmmewa&itmprp=enc%3aaqajaaaawmsofpbmcvjdkdpgudnmrt3pac%2bfaxjle4lf1iu7g4dwig30qrb1dn%2fp%2fnbxkbdwcynubtabzbe7pregwaalxrbzzlpcsz1lt44w2gu%2frbdegabeduj9a0uhtbo%2fga3ten9q6rbhadetcfia7adm7nq4ttqykwfmt%2fpx40gbkc2s71f4oedqkdlc1c9dfy4xgbho5laqxbtnbzmuf0qkdmgamyic5htqdjeuanl1ght8m7ktfaydvc5suo62lgsc1a%3d%3d%7ctkp%3abk9sr_aogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,very good - refurbished,“supplied with 3-year warranty ‚äì we can ship tax-free to eu-vat registered customers. fully tested ... 
scrap,109.0,lenovo,system x3650 m3,,lenovo system x3650 m3 2x xeon e5620 2.4ghz 32gb 2x 146gb 8-bay sff server,server,https://www.ebay.co.uk/itm/285660767600?hash=item4282b56570%3ag%3afn4aaoswaj9lqnmf&itmprp=enc%3aaqajaaaa4j1ntctklpifw2ucjqu2q7bxt7srgo4jrddfrqqpi6plar6rlczjv7dqzjnajo0ywot7vkgljnwonkj9zfbgtawe5a2j%2fb%2blsz4bxqno3jupxjgnvkcxxekoihlzknlr51stz%2f8j6r%2b1ali3l%2bosjfiyf0e092o5posnbgqjusw7kurd7hgivdg9ybxfxakpn8gucwf04srcirfypigjlybcop2suzsq%2bz4gmhcqfk5ad5nii9zc5eckro7b4%2fva17ydhhu8wgfccvjtcswcedfasum5mp64uhq2qvu%2fjn5k%7ctkp%3abk9sr_aogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,“pre-used item - please read description in full”
scrap,97.82,ibm,x3650,,ibm x3650 m2 m3 riser board + cage 1x pcie x16 slot 59y3441 59y3080,,https://www.ebay.co.uk/itm/325479469357?hash=item4bc816912d%3ag%3adksaaoswdppmeruc&itmprp=enc%3aaqajaaaa4pizn%2f4g2geiuedrnsd9mv4okala%2brmhsj3fbongt216js6kymtkmkczhm7nou2onqyjl0w91j2zhvjjnufvoct9aghiild2krokh%2b7hvqj0m3je6key2pxaa76s0krv7arcxzpjvqnacslpjaotlovewvsonsice4pfx8bew5twzrxg2bp2tknatdsu1gseswd2s6ytxmsmjmftjz3wiydttjg8sjtedgx7%2blhhtw0nc%2bn6bmyxwjrcro4t0bqxmheykmzpok9vlusgfdzua7uu%2bbqt9wxnbcjhxdkad1rw%7ctkp%3abk9sr_iogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,very good - refurbished: the item shows minimal wear. it is fully functional and has been ... ,
scrap,135.99,ibm,x3650,,00am209 / ibm system board lga2011 for system x3650 m4 type 7915 / 00kf656,,https://www.ebay.co.uk/itm/386302235528?epid=11015534947&hash=item59f1685388%3ag%3aiioaaosw0ufl3i%7ej&itmprp=enc%3aaqajaaaa4ov5bmmwfarjawdphwnk6x%2bcjdl3dtb4cvvlmapiiscuqah9wko1h4m5%2bmmtqu94xzvkm4z%2fka49ooqon%2bam4ifsk%2fugej%2bd15l9msnzbp5cjizuubjscwjqkqxtbpiceowkovi7uaortoo3etpadv2q6%2fvpnbaqjvdrg6qgzq3notxofwer3fuag7a3s7sfo4cldsuwiix7%2bfcn%2fidte13x2trl01vtb8bdlfq80ezexmbsu1nd7hltltkmbophajufk4yktccig2mc7i9q2lrwfgzmp%2fndls1hxzgg3jfv%7ctkp%3abk9sr_iogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,"“renewed, 100% working”"
scrap,71.0,ibm,x3650,,ibm 94y6707 x3650 m4 2-slot pci-e riser card assy  - 94y6707,,https://www.ebay.co.uk/itm/226059046860?hash=item34a22b4fcc%3ag%3agyiaaoswfd1l%7emi1&itmprp=enc%3aaqajaaaa4al68hcc0b8v%2fh%2bc5eju%2fcercri1kdtucv7q6apjxyufwvejb5uhdpmxhd9%2fkl89ujap8hbuqwwj1qkbciiqmhxe8psjtkgvzerdlhcslrsx%2frsadnmzj8k8lnp%2f9oxqh8lkk4gf5qa9e6czbcpvar0qf%2blpo7p2swb7rphmqkmyidguyaqfkvzml%2fg4bjabwh0ceibs1m8sdcnhwymwo2k3p2yr1b%2bgb2xaexkoug6jbv1canytwjyu%2fh2slljz7pvvqz4uvxn%2feo1zps5s7ka1tenlaqpon4pwj4xhkhab%7ctkp%3abk9sr_iogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,very good - refurbished,“product has been fully tested and is in great condition”
scrap,149.99,lenovo,x3550,,lenovo system x3550 m5 2 x xeon e5-2620 v3 @2.2ghz 256gb hdd 1ru rack server,server,https://www.ebay.co.uk/itm/176264035457?hash=item290a27bc81%3ag%3a3cmaaosw3ajl4lr3&itmprp=enc%3aaqajaaaa0pgmmbrkjd%2fdd89tk0qup3qbblzibowamlgfnjb3qsn1aod4nfi7juouy11p%2bwbamimixmfbnuydcoxgoqru5bic3ndtjlvxb6tqb6lhzetf2ndhtligjbmyc3s6htun%2fvjulia9xnspnwnmxwwa%2bddj7hnnsftj%2fjtrlpayf5zczupwodvxjsbdoxhqrbjnvingretulepkppmf7lzbjbhhckslga0hgvskvdxatsldcpbsncbq6xzyjrbjhjstx1fhl5aag%2b1jzofwn5cxvdg%3d%7ctkp%3abk9sr_iogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,used,"“used in overall good condition, missing side panels on front besal. comes with no rails. please ... "
scrap,200.0,ibm,x3650,,ibm system x3650 m4 server,,https://www.ebay.co.uk/itm/303248710508?epid=1139799671&hash=item469b081b6c%3ag%3awvmaaoswn0pdtvw2&itmprp=enc%3aaqajaaaa4izpl0lncbmovnfbh0c3blrhrlzzqx8t80pigd%2buu2zgnwwolub12ybcohnj159gisve66yu1tyxjwzvngmcz4topvz%2fba108cv9v1p3vslaowxr%2f47ou6a0xi8esqdoafac1m1dry5z1ehh%2f5w1etfv079c5tbk203j2uyo7ppr%2fbuyquywewvqaugkadt7ft%2b4zkngqcxviwvipxaqume2ahwus3dwj5ladz0%2bdl7unsjpy18ur0xpol0sdalcfbhtyvb7jfb1pli6qjn737zx0bjhvsvolxw5vyaskrsw%7ctkp%3abk9sr_qogcwgza&lh_bin=1&lh_itemcondition=1500%7c2010%7c2020%7c2030%7c3000%7c1000,,
